date,equity
2025-04-24,100000.0
2025-04-26,100000.0
2025-04-27,100000.0
2025-04-28,100000.0
2025-04-29,100000.0
2025-04-30,100000.0
2025-05-01,100000.0
2025-05-02,100000.0
2025-05-03,100000.0
2025-05-04,100000.0
2025-05-05,100000.0
2025-05-06,100000.0
2025-05-07,100000.0
2025-05-08,100000.0
2025-05-09,100000.0
2025-05-10,100000.0
2025-05-11,100000.0
2025-05-12,100000.0
2025-05-13,100000.0
2025-05-14,100000.0
2025-05-15,100000.0
2025-05-16,100000.0
2025-05-17,100000.0
2025-05-18,100000.0
2025-05-19,100000.0
2025-05-20,100000.0
2025-05-21,100000.0
2025-05-22,100000.0
2025-05-23,100000.0
2025-05-24,100000.0
2025-05-25,100000.0
2025-05-26,100000.0
2025-05-27,100000.0
2025-05-28,100000.0
2025-05-29,100000.0
2025-05-30,100000.0
2025-05-31,100000.0
2025-06-01,100000.0
2025-06-02,100000.0
2025-06-03,100000.0
2025-06-04,100000.0
2025-06-05,100000.0
2025-06-06,100000.0
2025-06-07,100000.0
2025-06-08,100000.0
2025-06-09,100000.0
2025-06-10,100000.0
2025-06-11,100000.0
2025-06-12,100000.0
2025-06-13,100000.0
2025-06-14,100000.0
2025-06-15,100000.0
2025-06-16,100000.0
2025-06-17,100000.0
2025-06-18,100000.0
2025-06-19,100000.0
2025-06-20,100000.0
2025-06-21,100027.75
2025-06-22,99879.66
2025-06-23,100080.09
2025-06-24,99951.04
2025-06-25,100179.91
2025-06-26,99730.43
2025-06-27,99612.52
2025-06-28,99827.2
2025-06-29,99436.28
2025-06-30,100483.39
2025-07-01,99680.29
2025-07-02,100049.69
2025-07-03,101161.7
2025-07-04,99880.57
2025-07-05,100769.74
2025-07-06,100662.99
2025-07-07,100688.67
2025-07-08,100960.65
2025-07-09,99888.2
2025-07-10,101336.49
2025-07-11,101498.34
2025-07-12,100986.61
2025-07-13,99924.88
2025-07-14,99635.26
2025-07-15,100548.22
2025-07-16,100901.59
2025-07-17,101106.92
2025-07-18,100909.79
2025-07-19,100744.86
2025-07-20,100452.75
2025-07-21,100618.23
2025-07-22,100675.37
2025-07-23,100167.21
2025-07-24,100240.19
2025-07-25,100406.74
2025-07-26,100275.87
2025-07-27,100232.83
2025-07-28,100167.37
2025-07-29,100020.31
2025-07-30,99737.2
2025-07-31,99842.25
2025-08-01,100004.73
2025-08-02,100238.14
2025-08-03,100380.09
2025-08-04,100603.24
2025-08-05,100341.11
2025-08-06,100747.99
2025-08-07,100180.13
2025-08-08,99895.12
2025-08-09,99803.46
2025-08-10,99060.35
2025-08-11,99060.35
2025-08-12,99060.35
2025-08-13,98692.55
2025-08-14,99942.21
2025-08-15,100017.13
2025-08-16,100199.8
2025-08-17,100637.99
2025-08-18,100790.36
2025-08-19,101506.28
2025-08-20,101758.05
2025-08-21,101758.96
2025-08-22,101671.34
2025-08-23,101916.57
2025-08-24,102309.01
2025-08-25,102653.25
2025-08-26,102641.68
2025-08-27,102498.55
2025-08-28,102698.8
2025-08-29,103602.09
2025-08-30,102874.6
2025-08-31,102740.83
2025-09-01,102700.53
2025-09-02,102893.84
2025-09-03,102372.93
2025-09-04,102505.53
2025-09-05,102289.73
2025-09-06,102140.23
2025-09-07,102893.84
2025-09-08,101953.03
2025-09-09,102893.84
2025-09-10,101937.43
2025-09-11,102068.73
2025-09-12,102893.84
2025-09-13,102764.23
2025-09-14,103042.43
2025-09-15,102913.73
2025-09-16,102406.73
2025-09-17,102893.84
2025-09-18,102193.53
2025-09-19,102904.63
2025-09-20,102844.83
2025-09-21,102955.33
2025-09-22,102893.84
2025-09-23,102768.13
2025-09-24,103123.03
2025-09-25,103233.53
2025-09-26,103151.63
2025-09-27,102893.84
2025-09-28,103163.33
2025-09-29,103393.43
2025-09-30,103639.13
2025-10-01,103880.93
2025-10-02,103016.42
2025-10-03,104223.11
2025-10-04,104270.97
2025-10-05,104459.6
2025-10-06,104745.66
2025-10-07,103854.89
2025-10-08,104841.71
2025-10-09,104960.01
2025-10-10,105282.41
2025-10-11,105437.11
2025-10-12,104157.51
2025-10-13,105821.91
2025-10-14,105758.21
2025-10-15,104157.51
2025-10-16,105611.0
2025-10-17,105611.0
2025-10-18,105611.0
2025-10-19,105611.0
2025-10-20,105611.0
2025-10-21,105611.0
2025-10-22,105611.0
2025-10-23,105611.0
2025-10-24,105611.0
2025-10-25,105611.0
2025-10-26,105611.0
2025-10-27,105611.0
2025-10-28,105611.0
2025-10-29,105611.0
2025-10-30,105611.0
2025-10-31,105611.0
2025-11-01,105611.0
2025-11-02,105611.0
2025-11-03,105611.0
2025-11-04,105611.0
2025-11-05,105611.0
2025-11-06,105530.34
2025-11-07,106612.81
2025-11-08,106770.83
2025-11-09,106770.83
2025-11-10,106770.83
2025-11-11,106770.83
2025-11-12,106770.83
2025-11-13,106696.66
2025-11-14,106749.86
2025-11-15,107099.16
2025-11-16,106770.83
2025-11-17,106798.16
2025-11-18,107321.76
2025-11-19,106955.71
2025-11-20,107800.16
2025-11-21,106925.79
2025-11-22,107471.98
2025-11-23,108021.06
2025-11-24,108747.99
2025-11-25,108966.69
2025-11-26,107809.71
2025-11-27,110997.39
2025-11-28,110374.59
2025-11-29,110261.79
2025-11-30,110157.89
2025-12-01,107809.71
2025-12-02,107809.71
2025-12-03,110490.24
2025-12-04,110577.44
2025-12-05,110455.44
2025-12-06,108156.77
2025-12-07,111667.08
2025-12-08,112732.96
2025-12-09,113028.46
2025-12-10,113704.26
2025-12-11,108712.45
2025-12-12,113828.76
2025-12-13,112780.36
2025-12-14,114464.26
2025-12-15,113216.46
2025-12-16,108712.45
2025-12-17,112839.66
2025-12-18,112957.16
2025-12-19,108712.45
2025-12-20,113995.76
2025-12-21,108712.45
2025-12-22,108712.45
2025-12-23,113454.46
2025-12-24,113035.86
2025-12-25,108712.45
2025-12-26,108712.45
2025-12-27,112483.06
2025-12-28,111590.46
2025-12-29,111882.46
2025-12-30,112657.96
2025-12-31,108712.45
2026-01-01,108712.45
2026-01-02,112330.46
2026-01-03,111966.06
2026-01-04,111616.36
2026-01-05,108712.45
2026-01-06,111676.86
2026-01-07,112603.0
2026-01-08,113467.36
2026-01-09,116026.55
2026-01-10,108490.82
