symbol,direction,entry_date,entry_price,sl,target,exit_price,outcome,hold_bars,pnl_pct,R,grade,score,patterns,rsi,rs_vs_nifty,near_52wh,near_52wl
RELIANCE,long,2025-04-29,1371.69,1316.94,1535.94,1428.49,TIME_EXIT,15,4.04,1.04,A,80.0,breakout_5d_high,70.0,1.036,False,False
RELIANCE,long,2025-05-16,1453.93,1395.76,1628.44,1395.06,SL,11,-4.15,-1.01,S,90.0,breakout_5d_high,75.0,1.092,True,False
RELIANCE,long,2025-11-21,1541.77,1479.81,1727.65,1555.72,TIME_EXIT,15,0.8,0.23,S,90.0,breakout_5d_high,73.0,1.044,True,False
TCS,short,2023-11-10,3336.33,3387.88,3181.68,3389.57,SL,2,-1.7,-1.03,A,80.0,"bearish_engulfing,bearish_marubozu",37.0,0.947,False,False
TCS,short,2024-06-03,3730.93,3877.77,3290.41,3879.71,SL,4,-4.09,-1.01,A,80.0,breakout_5d_low,28.0,0.955,False,False
TCS,short,2024-10-14,4137.93,4303.9,3640.02,3966.13,TIME_EXIT,15,4.05,1.04,A,80.0,"bearish_pin_bar,breakout_5d_low",30.0,0.934,True,False
TCS,short,2025-02-14,3923.04,4079.45,3453.81,3591.44,TIME_EXIT,15,8.35,2.12,S,90.0,breakout_5d_low,30.0,0.955,False,True
TCS,short,2025-04-04,3360.92,3497.05,2952.53,3498.8,SL,15,-4.2,-1.01,S,95.0,"bearish_marubozu,breakout_5d_low",39.0,0.915,False,True
TCS,short,2025-04-07,3098.45,3230.43,2702.51,3232.05,SL,1,-4.41,-1.01,S,90.0,breakout_5d_low,31.0,0.907,False,True
TCS,short,2025-06-13,3391.5,3502.3,3059.1,3504.05,SL,1,-3.42,-1.02,B,75.0,bearish_engulfing,38.0,0.966,False,False
TCS,short,2025-07-14,3264.37,3395.01,2872.45,3075.94,TIME_EXIT,15,5.67,1.44,S,90.0,breakout_5d_low,30.0,0.932,False,True
TCS,short,2025-07-15,3204.4,3333.31,2817.67,3065.43,TIME_EXIT,15,4.24,1.08,S,90.0,breakout_5d_low,26.0,0.917,False,True
TCS,short,2025-09-26,2939.53,3057.83,2584.63,3059.36,SL,8,-4.18,-1.01,S,95.0,"bearish_marubozu,breakout_5d_low",40.0,0.941,False,True
TCS,short,2025-09-29,2914.54,3030.5,2566.66,3032.02,SL,6,-4.13,-1.01,S,90.0,breakout_5d_low,38.0,0.931,False,True
TCS,short,2026-02-09,2957.62,3075.28,2604.64,2605.94,TARGET,4,11.79,2.99,S,90.0,breakout_5d_low,30.0,0.925,False,True
TCS,short,2026-05-08,2396.8,2492.86,2108.62,2277.34,TIME_EXIT,12,4.88,1.24,S,95.0,"bearish_marubozu,breakout_5d_low",28.0,0.926,False,True
INFY,short,2024-04-18,1420.39,1476.97,1250.65,1425.61,TIME_EXIT,15,-0.47,-0.09,S,90.0,"bearish_marubozu,breakout_5d_low",26.0,0.855,False,False
INFY,short,2024-04-19,1384.31,1441.08,1214.0,1441.8,SL,2,-4.25,-1.01,A,80.0,bearish_pin_bar,30.0,0.87,False,False
INFY,short,2025-04-09,1404.35,1461.5,1232.9,1462.23,SL,5,-4.22,-1.01,S,90.0,bearish_pin_bar,30.0,0.848,False,True
INFY,short,2025-10-20,1452.97,1510.61,1280.05,1511.37,SL,2,-4.12,-1.01,A,80.0,breakout_5d_low,48.0,0.925,False,False
INFY,short,2026-04-27,1154.02,1200.2,1015.48,1143.07,TIME_EXIT,15,0.85,0.24,S,95.0,breakout_5d_low,27.0,0.865,False,True
INFY,short,2026-05-13,1136.03,1181.64,999.2,1182.23,SL,4,-4.17,-1.01,S,90.0,breakout_5d_low,26.0,0.911,False,True
HDFCBANK,long,2024-06-20,835.32,802.17,934.77,801.77,SL,15,-4.12,-1.01,A,80.0,breakout_5d_high,71.0,1.089,False,False
HDFCBANK,long,2024-10-22,865.46,830.89,969.17,858.67,TIME_EXIT,15,-0.88,-0.2,S,90.0,breakout_5d_high,50.0,1.033,True,False
