symbol,direction,entry_date,exit_date,entry_price,exit_price,quantity,pnl,pnl_pct,commission,holding_days,exit_reason,signal_strength,patterns
INFY,short,2025-07-24,2025-08-18,1542.63,1440.72,12,1187.1,6.41,35.8,25,VOLUME_EXIT,73.0,"price_breakout_down,ema_downtrend,below_vwap,rsi_oversold,ema21_pullback_short"
KOTAKBANK,long,2025-07-16,2025-09-23,6419.17,5722.39,3,-2126.75,-11.04,36.42,69,GAP_SL,52.1,"ema_uptrend,above_vwap,rsi_overbought_vol_surge,inside_bar_long,supertrend_up"
MARUTI,long,2025-09-27,2025-10-22,2188.64,2619.4,9,3833.49,19.46,43.27,25,VOLUME_EXIT,63.4,"ema_uptrend,above_vwap,rsi_oversold,ema21_pullback_long,supertrend_down"
KOTAKBANK,long,2025-12-06,2025-12-15,6753.09,7188.26,3,1263.67,6.24,41.82,9,VOLUME_EXIT,49.6,"ema_uptrend,above_vwap,rsi_momentum_zone,supertrend_up,vol_2.2x"
INFY,long,2025-10-23,2025-12-25,1540.27,1655.27,13,1453.49,7.26,41.54,63,VOLUME_EXIT,70.1,"ema_bullish_cross,rsi_bullish_zone,ema21_pullback_long,supertrend_up,vol_2.7x"
BHARTIARTL,short,2026-01-24,2026-01-27,3677.02,3437.94,5,1159.83,6.31,35.57,3,VOLUME_EXIT,55.9,"ema_downtrend,below_vwap,rsi_oversold_vol_surge,nr7_breakout_down,supertrend_down"
LT,short,2026-02-13,2026-02-18,6482.7,6212.08,3,773.77,3.98,38.08,5,VOLUME_EXIT,57.1,"ema_downtrend,above_vwap,rsi_bearish_zone,nr7_breakout_down,supertrend_down"
KOTAKBANK,long,2026-02-17,2026-02-18,7945.67,8094.27,2,265.11,1.67,32.08,1,VOLUME_EXIT,67.9,"ema_uptrend,above_vwap,rsi_bullish_zone,ema21_pullback_long,supertrend_up"
KOTAKBANK,long,2026-03-04,2026-03-10,8541.04,9009.97,2,902.74,5.28,35.1,6,VOLUME_EXIT,56.6,"trend_up,ema_uptrend,above_vwap,rsi_bullish_zone,supertrend_up"
TCS,short,2026-02-04,2026-04-25,2988.51,2396.9,7,4103.54,19.62,37.7,80,END_OF_TEST,84.6,"trend_down,ema_downtrend,vwap_breakout_down,rsi_oversold,supertrend_down"
INFY,short,2026-02-12,2026-04-25,1293.25,1154.6,16,2179.28,10.53,39.17,72,END_OF_TEST,62.1,"trend_down,ema_downtrend,below_vwap,rsi_oversold_vol_surge,supertrend_down"
RELIANCE,short,2026-03-05,2026-04-25,1395.8,1327.8,15,979.17,4.68,40.85,51,END_OF_TEST,65.4,"ema_downtrend,below_vwap,supertrend_down,vol_2.1x"
KOTAKBANK,long,2026-04-22,2026-04-25,9150.85,9121.15,2,-95.94,-0.52,36.54,3,END_OF_TEST,62.6,"ema_uptrend,above_vwap,rsi_bullish_zone,ema21_pullback_long,supertrend_up"
